Source	Target	Type	Label	Wheigt
/BD_13	/R_54	UnDirected	a-occident	1
/BD_130	/BD_129	UnDirected	a-circio	1
/BD_130	/BD_131	UnDirected	a-orient	1
/BD_130	/BND_843	UnDirected	a-meridie	1
/BD_130	/R_12	UnDirected	in	1
/BD_130	/RN_00125	UnDirected	a-occident	1
/BD_131	/BD_129	UnDirected	a-meridie	1
/BD_131	/BD_129	UnDirected	a-occident	1
/BD_131	/BD_130	UnDirected	a-occident	1
/BD_131	/BD_132	UnDirected	a-orient	1
/BD_131	/BD_449	UnDirected	a-orient	1
/BD_131	/BND_844	UnDirected	a-meridie	1
/BD_131	/L_224	UnDirected	in	1
/BD_131	/R_12	UnDirected	in	1
/BD_131	/R_12	UnDirected	a-circio	1
/BD_132	/BD_131	UnDirected	a-occident	1
/BD_132	/BD_449	UnDirected	a-circio	1
/BD_132	/BND_845	UnDirected	a-circio	1
/BD_132	/BND_846	UnDirected	a-meridie	1
/BD_132	/R_8	UnDirected	in	1
/BD_132	/R_8	UnDirected	a-orient	1
/BD_133	/BD_1143	UnDirected	a-circio	1
/BD_133	/BD_1144	UnDirected	a-orient	1
/BD_133	/BD_134	UnDirected	a-meridie	1
/BD_133	/R_8	UnDirected	in	1
/BD_133	/R_8	UnDirected	a-occident	1
/BD_134	/BD_1144	UnDirected	a-orient	1
/BD_134	/BD_133	UnDirected	a-circio	1
/BD_134	/BD_454	UnDirected	a-meridie	1
/BD_134	/R_8	UnDirected	in	1
/BD_134	/R_8	UnDirected	a-occident	1
/BD_135	/BD_129	UnDirected	a-circio	1
/BD_135	/BND_847	UnDirected	a-occident	1
/BD_135	/BND_848	UnDirected	a-orient	1
/BD_135	/L_224	UnDirected	retro	1
/BD_135	/R_112	UnDirected	prope	1
/BD_135	/R_112	UnDirected	a-meridie	1
/BD_136	/BD_101	UnDirected	a-occident	1
/BD_136	/BD_101	UnDirected	a-circio	1
/BD_136	/BD_137	UnDirected	a-orient	1
/BD_136	/R_12	UnDirected	in	1
/BD_136	/R_12	UnDirected	a-meridie	1
/BD_137	/BD_136	UnDirected	a-occident	1
/BD_137	/BD_138	UnDirected	a-orient	1
/BD_137	/BD_448	UnDirected	a-circio	1
/BD_137	/R_12	UnDirected	in	1
/BD_137	/R_12	UnDirected	a-meridie	1
/BD_138	/BD_137	UnDirected	a-occident	1
/BD_138	/BD_139	UnDirected	a-orient	1
/BD_138	/BD_448	UnDirected	a-circio	1
/BD_138	/R_12	UnDirected	in	1
/BD_138	/R_12	UnDirected	a-meridie	1
/BD_139	/BD_138	UnDirected	a-occident	1
/BD_139	/BD_140	UnDirected	a-orient	1
/BD_139	/BD_448	UnDirected	a-circio	1
/BD_139	/R_12	UnDirected	in	1
/BD_139	/R_12	UnDirected	a-meridie	1
/BD_14	/BD_13	UnDirected	a-circio	1
/BD_14	/BD_15	UnDirected	a-meridie	1
/BD_14	/BND_888	UnDirected	a-orient	1
/BD_14	/R_54	UnDirected	a-occident	1
/BD_140	/BD_139	UnDirected	a-occident	1
/BD_140	/BD_141	UnDirected	a-circio	1
/BD_140	/R_12	UnDirected	in compito-sive-cantono	1
/BD_140	/R_12	UnDirected	a-meridie	1
/BD_140	/R_8	UnDirected	a-orient	1
/BD_141	/BD_139	UnDirected	a-occident	1
/BD_141	/BD_140	UnDirected	a-meridie	1
/BD_141	/BD_142	UnDirected	a-circio	1
/BD_141	/BND_849	UnDirected	ante	1
/BD_141	/R_12	UnDirected	in	1
/BD_141	/R_8	UnDirected	a-orient	1
/BD_142	/BD_141	UnDirected	a-meridie	1
/BD_142	/BD_143	UnDirected	a-circio	1
/BD_142	/BD_448	UnDirected	a-occident	1
/BD_142	/R_12	UnDirected	in	1
/BD_142	/R_8	UnDirected	a-orient	1
/BD_143	/BD_142	UnDirected	a-meridie	1
/BD_143	/BD_144	UnDirected	a-occident	1
/BD_143	/R_12	UnDirected	in	1
/BD_143	/R_74	UnDirected	a-circio	1
/BD_143	/R_8	UnDirected	a-orient	1
/BD_144	/BD_143	UnDirected	a-orient	1
/BD_144	/BD_448	UnDirected	a-meridie	1
/BD_144	/BD_92	UnDirected	a-occident	1
/BD_144	/R_74	UnDirected	a-circio	1
/BD_144	/R_96	UnDirected	a-circio	1
/BD_145	/BD_146	UnDirected	a-circio	1
/BD_145	/BD_157	UnDirected	a-meridie	1
/BD_145	/BD_158	UnDirected	a-orient	1
/BD_145	/BD_450	UnDirected	a-meridie	1
/BD_145	/R_8	UnDirected	in	1
/BD_145	/R_8	UnDirected	a-occident	1
/BD_146	/BD_145	UnDirected	a-meridie	1
/BD_146	/BD_156	UnDirected	a-orient	1
/BD_146	/BND_851	UnDirected	a-circio	1
/BD_146	/R_8	UnDirected	a-occident	1
/BD_147	/BD_148	UnDirected	a-occident	1
/BD_147	/BD_151	UnDirected	a-orient	1
/BD_147	/BD_444	UnDirected	a-circio	1
/BD_147	/BND_850	UnDirected	a-orient	1
/BD_147	/BND_851	UnDirected	a-meridie	1
/BD_147	/R_74	UnDirected	ante	1
/BD_148	/BD_147	UnDirected	a-orient	1
/BD_148	/BD_449	UnDirected	a-circio	1
/BD_148	/R_74	UnDirected	a-occident	1
/BD_148	/RN_00132	UnDirected	a-meridie	1
/BD_149	/BD_150	UnDirected	a-meridie	1
/BD_149	/BD_151	UnDirected	a-meridie	1
/BD_149	/BD_443	UnDirected	a-occident	1
/BD_149	/R_10	UnDirected	in compito-sive-cantono	1
/BD_149	/R_10	UnDirected	a-circio	1
/BD_149	/R_10	UnDirected	a-orient	1
/BD_15	/BD_14	UnDirected	a-circio	1
/BD_15	/BD_16	UnDirected	a-meridie	1
/BD_15	/E_154	UnDirected	a-orient	1
/BD_15	/R_54	UnDirected	a-occident	1
/BD_150	/BD_149	UnDirected	a-circio	1
/BD_150	/BD_149	UnDirected	a-occident	1
/BD_150	/BD_151	UnDirected	a-meridie	1
/BD_150	/R_10	UnDirected	in	1
/BD_150	/R_10	UnDirected	a-orient	1
/BD_151	/BD_150	UnDirected	a-circio	1
/BD_151	/BD_152	UnDirected	a-meridie	1
/BD_151	/BD_444	UnDirected	a-occident	1
/BD_151	/R_10	UnDirected	in	1
/BD_151	/R_10	UnDirected	a-orient	1
