"id","nom","nomActuel","the_geom","length","type","detailLoc"
20,"Rue Saint Antoine",NULL,"01050000206A08000001000000010200000005000000B653B2D39BC9294122C6C0410D1A584131CFAF49CAC92941DD2BDC510D1A5841DFDC58DFE7C92941BF5E98940A1A584137592A79F4C929418847E612091A584133ECDB881ECA29413B599E91061A5841","66.6395896508923","Rue",NULL
13,"Rue du Portail Brianson",NULL,"01050000206A080000010000000102000000030000000346B28A04C829412AD464401B1A584162E9DF5901C829414B98D908151A58417E78957204C8294192CACE8F0C1A5841","56.4222418920834","Rue",NULL
104,"Place de l'Orme",NULL,"01050000206A08000001000000010200000003000000BD41ABE304CB29412A13551C011A5841D0220CFB04CB2941B416D43B001A584162C87FA203CB29419615732DFF195841",NULL,"Place",NULL
467,"Traverse de la Milhete","","01050000206A08000001000000010200000008000000557DD1125FCF2941D6A3BD9C3F1A58414C5A43EE67CF29419A2B3AC4391A5841E82C0F9578CF29411917FE4C331A58411705A521CBCF2941E755713F291A5841110B8FEBE0CF294167AACE29271A5841F9F084D007D02941E35A47C2211A5841260C0E5E33D0294132628FF1071A58416C470F3837D0294145453D2F051A5841",NULL,"Traverse",NULL
7,"Rue allant à la Poissonerie",NULL,"01050000206A08000001000000010200000003000000904574DD1FC8294126236DAD371A5841FA72B3009EC82941CEB70A73361A58412EFE0FED1CC92941477D801C351A5841","133.094275210495","Rue",NULL
14,"Rue Saint-Jean ou Derrière le Temple",NULL,"01050000206A08000001000000010200000007000000904574DD1FC8294126236DAD371A58414D152E231AC829413E85EA9F341A5841562E7F5C0AC829412BA597462E1A5841CFBD738306C82941B1EA5852291A5841F498F22006C829411B3AC163251A58416D28E74702C8294140A30E231F1A58410346B28A04C829412AD464401B1A5841","112.618202154706","Rue",NULL
90,"Rue allant aux escaliers de Notre-Dame des Doms",NULL,"01050000206A08000001000000010200000006000000B56B72941FCB294133D1FA63861A58415044F27110CB2941EC121B78861A58418C6012DBFACA294178FEE70C871A58415EBACC5DE8CA2941B0CFE0AF871A5841A6960486DBCA29414B7FBCEE881A58410D2A6237D4CA29419776CB908A1A5841",NULL,"Rue",NULL
43,"Rue Vieneuve",NULL,"01050000206A0800000100000001020000000B00000068473A41A5CB29419215EDE39C1A58413D94C4F8E3CB2941E8BD057C9A1A58416836A6631ACC2941A76341669A1A5841912277781ECC2941733C3C4C951A5841C33B73663CCC294161BE5E388D1A5841DFDE064A58CC2941088520C18A1A5841AF7B1BB26CCC294182F6FFDD831A58416AA2C70F7FCC294182F6FFDD831A58410981E8B48ECC2941AD69D5887B1A5841632BAD8C97CC29412372A34E741A5841B85A4BE286CC2941C7813071731A5841","225.388582205411","Rue",NULL
100,"Traverse de la Porte Aurose",NULL,"01050000206A0800000100000001020000000200000024BB35CA51CB294134260FD99F1A584168473A41A5CB29419215EDE39C1A5841",NULL,"Traverse",NULL
97,"Rue de l'Amelhier",NULL,"01050000206A080000010000000102000000040000000E35F55076C829415296EBEDF4195841E83486AC77C82941CFA665EEF4195841325374A5C3C829414D853973F519584129DDCC71E6C829416AF80F06F6195841",NULL,"Rue",NULL
15,"Traverse derrière le Temple",NULL,"01050000206A08000001000000010200000002000000C9F9BF855FC829417B854D26281A5841CFBD738306C82941B1EA5852291A5841","42.6927986911675","Traverse",NULL
16,"Rue Vieille Blanquerie ou de Notre-Dame des Fours",NULL,"01050000206A08000001000000010200000003000000CFAB8E3866C82941AF94A85EE919584148F0FF3D82C829411D646359E819584155753DF330C929412A03099AE4195841","99.4151187931957","Rue",NULL
17,"Rue Bouquerie",NULL,"01050000206A0800000100000001020000000700000055753DF330C929412A03099AE4195841A5917C0738C929410BA881DFE91958418943FC653BC92941617D8B69ED195841FF02529D4BC92941356B2931F7195841DDD2956A4FC92941C960BDA5F81958413A70214198C9294172177B160B1A5841B653B2D39BC9294122C6C0410D1A5841","155.662513883517","Rue",NULL
18,"Rue Argenterie ou de la Muse",NULL,"01050000206A08000001000000010200000004000000B653B2D39BC9294122C6C0410D1A5841D1B015D898C9294113817626131A58410B4942068CC9294182DD5B441A1A5841FCD02FAF76C92941B018B329291A5841","110.723291468764","Rue",NULL
21,"Rue Garlanderie",NULL,"01050000206A0800000100000001020000000900000033ECDB881ECA29413B599E91061A58413B8391E618CA2941B7A590020E1A5841127449450ECA29419492BBE8101A58414C2454A6E6C92941723EC330171A5841FA05C463D1C9294198CF510E1B1A5841643F43B1C8C92941BE60E0EB1E1A584162C189EDC1C929414894A96C221A5841FBAFC577A5C92941DD1CAD8F2B1A584198009983A5C929412959E26C2D1A5841","156.439145796399","Rue",NULL
22,"Rue Miraillerie",NULL,"01050000206A080000010000000102000000060000005D0CE52977C92941EBF37702451A58413C595D227AC929418D2353BE501A58415B87A5EA7BC92941E464B944531A5841935477BD8DC92941BAE37F2B581A58414F5ECC90AEC929413F9E13B65E1A58411305D038C1C92941236EE6665F1A5841","117.207242595721","Rue",NULL
23,"Rue du Maréchal",NULL,"01050000206A080000010000000102000000030000002C71EFC8B9C929412C262B1F4D1A58415E602B96C0C92941D1E174485A1A58411305D038C1C92941236EE6665F1A5841","68.6420595005818","Rue",NULL
24,"Rue Peyrolerie",NULL,"01050000206A0800000100000001020000000B0000001305D038C1C92941236EE6665F1A5841D153DAA5DAC9294163E44BB15E1A5841CFB5B258F4C9294102C5BC015E1A5841929C145701CA2941C7F189EC5C1A58413EB1264508CA2941E0DDE6B85A1A5841DCEE619F0ECA29416199D21B5A1A584107F5D97234CA294108A11A19591A5841B309EC603BCA2941735E583B581A5841B04CA9AE4ACA2941EAA7F35B531A5841707B3FE781CA2941BDD8C283501A584170EEB04389CA294193B8B36A501A5841","116.285771294157","Rue",NULL
36,"Rue de l'Hôpital petit",NULL,"01050000206A08000001000000010200000007000000E6BB44A441CB29418DCB4556771A584109F09A8E4CCB294157EE31937B1A584165A8AD8964CB2941C6F1A38E801A5841A29662A170CB29411E56BC66821A584130424B5679CB2941104C1C63881A58412302391290CB2941B98448C2911A58410049012296CB2941535754EC951A5841","130.776729242856","Rue",NULL
40,"Rue Saint Catherine",NULL,"01050000206A0800000100000001020000000C0000000CAF78AA13CB2941BE94B7A2651A5841ACD3403C3FCB29411EBA9224651A5841A9AFDCFF59CB2941D1FBBCFC641A5841B4BCBE0397CB294110F3FB6E6A1A5841CD8A6990CDCB2941083D6C36731A5841DFE7ADBFF3CB29416F62CA3D781A584188C7393AFBCB2941338CCCF5791A58416EB1157F17CC29417411C5DE7C1A5841AF08DD4F1FCC2941E744BA837D1A58418061003F3CCC29419100D82C801A58414634FDB54BCC2941C4C2BAA8821A5841AF7B1BB26CCC294182F6FFDD831A5841","217.33890094829","Rue",NULL
89,"Place de la Pignotte",NULL,"01050000206A0800000100000001020000000200000032445738D9CC2941F323AA69251A5841E7A29734FDCC2941B768EA5F261A5841","52.0044013990133","Place",NULL
533,"Rue publique dans la Paroisse Saint-Didier",NULL,NULL,NULL,"Rue",NULL
95,"Traverse qui mène vers la maison de Philippe Cabassole",NULL,"01050000206A08000001000000010200000002000000A93342E2E3CA2941002F34136C1A58419240BCB217CB29412AE59A85691A5841",NULL,"Traverse",NULL
96,"Rue proche du Plan de Lunel et du Portail Brianson",NULL,"01050000206A0800000100000001020000000500000091CE76C888C829413BAA9A3B191A58415FD924325FC82941B015EEDE191A5841103051ED35C82941692FBD7E1A1A58410A6EEFC40EC82941CA1096FE1A1A58410346B28A04C829412AD464401B1A5841",NULL,"Rue",NULL
