idInvariant,Type,nom,the_geom
82,Rue,Rue Calade,01050000206A08000001000000010200000009000000E16129551BC8294117C92DCA661A584197A989320AC82941EA1352FB5A1A5841A350022BF4C72941F18DE106501A5841E4FF76EDE2C729410F72223A471A5841E10A2476CBC72941D17115E23B1A5841199F0C62B9C7294105FC8F292F1A584110762070A1C72941853977A1201A5841F03D89909EC7294154186E331C1A58417CCCC58AA5C72941DFBC2680141A5841
83,Rue,NULL,01050000206A08000001000000010200000008000000B84093D5AEC72941ADFBBB8A101A5841DED87C3EAEC72941DB5C54C20E1A58415C97CD14B1C729416221623F061A5841D67658DFB2C72941849A69D0FD1958416C0AD2D7B8C72941AB7635BDF8195841DDDA8C8FC9C72941D49CB859F119584199018B19E0C72941295DF066E91958417E87437AF6C729414D6402CDE4195841
84,Rue,NULL,01050000206A080000010000000102000000040000007E87437AF6C729414D6402CDE4195841C31B8EA021C829411183572EDD19584134EC485832C82941E1E0028ADB195841324A4ABBFBC8294166970124D4195841
85,Rue,NULL,01050000206A08000001000000010200000004000000BAF153D824C9294148B88CEFD2195841B02252C288C9294149347CE5CF195841E7DF93BBB6C9294149347CE5CF19584123ABD29F46CA2941A2CBA922D2195841
86,Rue,NULL,01050000206A080000010000000102000000040000008B53B09860CA29413646166FD219584164E555F590CA294114FEB8E1D2195841944B8D017BCB2941ABC2DCDDD0195841115D322488CB2941403D492AD1195841
87,Rue,NULL,01050000206A08000001000000010200000005000000CAEFC14EA3CB2941A2CBA922D2195841DA930D4227CC2941FC7BE40BDA1958415D8C3DBD03CD29415C33532BEB19584140AF1CB40DCD2941685DF717EC195841B2556AE813CD2941E44CC7DAED195841
88,Rue,Rue Couraterie des chevaux,01050000206A08000001000000010200000009000000B2556AE813CD2941E44CC7DAED1958415154E9742DCD294134A0B0B3F31958415FFD69DB35CD2941D72E2DCAFA19584195DF7FDB3CCD294180983D0A001A58418897F5C141CD2941B3E8F043081A5841C70F065842CD2941C6E97F1C0D1A584129C41E3943CD2941202B58AB131A58418697F5C141CD29415819E8111B1A584193E11A8840CD2941987F8CDB271A5841
89,Rue,Place de la Pignotte,01050000206A0800000100000001020000000200000032445738D9CC2941F323AA69251A5841E7A29734FDCC2941B768EA5F261A5841
90,Rue,Rue allant aux escaliers de Notre-Dame des Doms,01050000206A08000001000000010200000006000000B56B72941FCB294133D1FA63861A58415044F27110CB2941EC121B78861A58418C6012DBFACA294178FEE70C871A58415EBACC5DE8CA2941B0CFE0AF871A5841A6960486DBCA29414B7FBCEE881A58410D2A6237D4CA29419776CB908A1A5841
91,Rue,Impasse ,01050000206A08000001000000010200000002000000AAEDA3DEEACA29413F34D099871A5841CBCC4CBAD6CA2941B6B9F717801A5841
92,Rue,Traverse Trouillas,01050000206A08000001000000010200000002000000421F163A12CB2941AA2A83F3801A5841698AF69C5BCB294126A8D9B87E1A5841
93,Rue,Traverse de Sainte-Catherine,01050000206A0800000100000001020000000200000013C81342F5CA29419BEEBBFD731A58410BCA7B712DCB2941508A9CDB701A5841
94,Rue,Traverse qui va vers la livree de Vabrensis,01050000206A08000001000000010200000002000000360A2F7E06CB2941A3BDEA087C1A584113EDF5C847CB294131DDE1B8791A5841
95,Rue,Traverse qui mene vers la maison de Philippe Cabassole,01050000206A08000001000000010200000002000000A93342E2E3CA2941002F34136C1A58419240BCB217CB29412AE59A85691A5841
96,Rue,Rue proche du Plan de Lunel et du Portail Brianson,01050000206A0800000100000001020000000500000091CE76C888C829413BAA9A3B191A58415FD924325FC82941B015EEDE191A5841103051ED35C82941692FBD7E1A1A58410A6EEFC40EC82941CA1096FE1A1A58410346B28A04C829412AD464401B1A5841
97,Rue,Rue de l'Amelhier,01050000206A080000010000000102000000040000000E35F55076C829415296EBEDF4195841E83486AC77C82941CFA665EEF4195841325374A5C3C829414D853973F519584129DDCC71E6C829416AF80F06F6195841
98,Rue,Rue du Portail Brianson aux frere precheurs,01050000206A08000001000000010200000002000000623078E001C8294179F89098131A584134F6D194B1C729412A9B8675121A5841
