idBien;idIndividu;ordreSuccession;date1reconnaissanceMin;date2reconnaissanceMax;sureteDate
BD_470;241;1;1366;1368;S
BD_471;367;1;1366;1368;S
BD_472;241;1;1366;1368;S
BD_473;368;1;1366;1368;S
BD_474;368;1;1366;1368;S
BD_475;369;1;1366;1368;S
BD_476;370;1;1366;1368;S
BD_477;371;1;1366;1368;S
BD_478;372;1;1366;1368;S
BD_479;373;1;1366;1368;S
BD_480;374;1;1366;1368;S
BD_481;249;1;1366;1368;S
BD_481;250;1;1366;1368;S
BD_482;367;1;1366;1368;S
BD_483;376;1;1366;1368;S
BD_484;377;1;1366;1368;S
BD_485;378;1;1366;1368;S
BD_486;379;1;1366;1368;S
BD_487;380;1;1366;1368;S
BD_488;381;1;1366;1368;S
BD_489;112;1;1366;1368;S
BD_490;226;1;1366;1368;S
BD_491;383;1;1366;1368;S
BD_491;382;1;1366;1368;S
BD_492;384;1;1366;1368;S
BD_493;385;1;1366;1368;S
BD_494;209;1;1366;1368;S
BD_495;386;1;1366;1368;S
BD_496;213;1;1366;1368;S
BD_496;212;1;1366;1368;S
BD_497;387;1;1366;1368;S
BD_498;388;1;1366;1368;S
BD_499;388;1;1366;1368;S
BD_500;389;1;1366;1368;S
BD_501;240;1;1366;1368;S
BD_502;383;1;1366;1368;S
BD_502;382;1;1366;1368;S
BD_503;390;1;1366;1368;S
BD_504;4;1;1366;1368;S
BD_504;5;1;1366;1368;S
BND_801;26;1;1366;1368;S
BND_802;79;1;1366;1368;S
BND_803;1024;1;1366;1368;S
BND_804;816;1;1366;1368;S
BND_805;1081;1;1366;1368;S
BND_806;19;1;1366;1368;S
BND_807;1082;1;1366;1368;S
BND_808;923;1;1366;1368;S
BND_808;765;1;1366;1368;S
BND_809;1083;1;1366;1368;S
BND_810;32;1;1366;1368;S
BND_811;36;1;1366;1368;S
BND_812;37;1;1366;1368;S
BND_813;38;1;1366;1368;S
BND_814;39;1;1366;1368;S
BND_815;1083;1;1366;1368;S
BND_816;1084;1;1366;1368;S
BND_817;743;1;1366;1368;S
BND_818;1085;1;1366;1368;S
BND_819;75;1;1366;1368;S
BND_820;78;1;1366;1368;S
BND_821;79;1;1366;1368;S
BND_822;1087;1;1366;1368;S
BND_823;115;1;1366;1368;S
BND_824;1089;1;1366;1368;S
BND_825;1091;1;1366;1368;S
BND_826;1092;1;1366;1368;S
BND_827;707;1;1366;1368;S
BND_828;80;1;1366;1368;S
BND_829;917;1;1366;1368;S
BND_830;99;1;1366;1368;S
BND_831;262;1;1366;1368;S
BND_832;101;1;1366;1368;S
BND_833;102;1;1366;1368;S
BND_834;103;1;1366;1368;S
BND_835;1093;1;1366;1368;S
BND_836;698;1;1366;1368;S
BND_837;1094;1;1366;1368;S
BND_838;119;1;1366;1368;S
BND_839;120;1;1366;1368;S
BND_840;121;1;1366;1368;S
BND_841;140;1;1366;1368;S
BND_842;122;1;1366;1368;S
BND_843;124;1;1366;1368;S
BND_844;127;1;1366;1368;S
BND_845;224;1;1366;1368;S
BND_846;91;1;1366;1368;S
BND_847;91;1;1366;1368;S
BND_848;91;1;1366;1368;S
BND_849;739;1;1366;1368;S
BND_850;143;1;1366;1368;S
BND_851;1095;1;1366;1368;S
BND_852;454;1;1366;1368;S
BND_853;160;1;1366;1368;S
BND_854;879;1;1366;1368;S
BND_855;426;1;1366;1368;S
