identifiant;categorie;typeT;nbComposant1;composant1;nbComposant2;composant2;composant3;composant4;composant5;composant6;qualifEnsemble;detailEnsemble;mesure;materiaux;montantN;espece;montant;detailRedev;montant2
BD_1020;biendeclare;maison3 avec masure contigus;1;maison; null;masure; null; null;null;null;null;null;null;null;9 den.;tournois;9 den. tur. parv. antiq.;null;null
BD_1021;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol. 6 den.;tournois;4 sol. et 6 den. tur. parv. antiq.;null;null
BD_1022;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_1023;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;8 sol.;tournois;8 sol. tur. parv. antiq.;null;null
BD_1024;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 sol.;tournois;12 sol. tur. parv. antiq.;null;null
BD_1025;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1026;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. tur. parv. antiq.;null;null
BD_1027;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol. 6 den.;tournois;4 sol. et 6 den. tur. parv. antiq.;null;null
BD_1028;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 den.;tournois;10 den. tur. parv. antiq.;null;null
BD_1029;biendeclare;2 maison3 contigues;2;maison; null; null; null; null;null;null;null;null;null;null;2 sol. 6 den.;tournois;2 sol. et 6 den. tur. parv.;null;null
BD_1030;biendeclare;maison3 avec masure contigus;1;maison; null;masure; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_1031;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;6 sol.;tournois;6 sol. tur. parv. antiq.;null;null
BD_1032;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 den.;tournois;4 den. tur. parv. antiq.;null;null
BD_1033;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;8 den.;tournois;8 den. tur. parv. antiq.;null;null
BD_1034;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;in quo moratur;null;null;21 den.;tournois;21 den. tur. parv. antiq.;null;null
BD_1035;biendeclare;2 maison3 contigues;2;maison; null; null; null; null;null;null;null;null;null;null;4 den.;tournois;4 den. tur. parv. antiq.;null;null
BD_1036;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;4 den. 1 ob.;tournois;4 den. et ob. tur. par. antiq.;null;null
BD_1037;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;viennois;15 sol. viennen.;null;null
BD_1038;biendeclare;2 maison3 contigues;2;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. tur. antiq.;null;null
BD_1039;biendeclare;2 maisons3 contigues et unies et reduites en une seule maison;2;maison; null; null; null; null;null;null;null;null;null;null;4 sol. 6 den.;tournois;4 sol. et 6 den. tur. parv. antiq.;null;null
BD_1040;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. tur. parv. antiq.;null;null
BD_1041;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1042;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;melgorien;2 sol. melg.;null;null
BD_1043;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;2 sol. 3 den.;tournois;2 sol. et 3 den. tur. antiq.;null;null
BD_1044;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. tur. parv. antiq.;null;null
BD_1045;biendeclare;maison3 avec four contigus;1;maison; null;four; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. tur. antiq.;null;null
BD_1046;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. tur. parv. antiq.;null;null
BD_1047;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1048;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol.tur.parv. antiq.;null;null
BD_1049;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;30 sol.;tournois;30 sol. tur. parv. antiq.;null;null
BD_1050;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;6 sol. 8 den.;tournois;6 sol. 8 den. tur. parv. antiq.;null;null
BD_1051;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol. 4 den.;tournois;5 sol. 4 den. tur. parv. antiq.;null;null
BD_1052;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. tur. parv. antiq.;null;null
BD_1053;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_1054;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 sol.;tournois;6 sol. tur. parv. antiq.;null;null
BD_1055;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol. 3 den.;tournois;2 sol. et 3 den. tur. antiq.;null;null
BD_1056;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;2 sol. 3 den.;tournois;2 sol. et 3 den. tur. antiq.;null;null
BD_1057;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;18 den.;tournois;18 den. tur. antiq.;null;null
BD_1058;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;17 sol. 6 den.;viennois;17 sol. 6 den. viennen.;null;null
BD_1059;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol. 3 den.;tournois;3 sol. 3 den. tur. parv. antiq.;null;null
BD_1060;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol. 3 den.;tournois;3 sol. 3 den. tur. parv. antiq.;null;null
BD_1061;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1062;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1063;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1064;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;null;null;null;3 den.;tournois;3 den. tur. parv. antiq.;null;null
BD_1065;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol.;tournois;4 sol. tur. parv. antiq.;null;null
BD_1066;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1067;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol. 6 den.;tournois;2 sol. et 6 den. tur. parv.;null;null
BD_1068;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;viennois;15 sol. viennen.;null;null
BD_1069;biendeclare;maison3;1;maison; null; null; null; null;null;null;magnum;six maisons ou bout de maison reuni avec accord du prevot;null;null;10 sol. 3 den.;tournois;10 sol. 3 den. tur. parv. antiq.;null;null
BD_1070;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 sol.;tournois;12 sol. tur. parv. antiq.;null;null
BD_1071;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;tournois;15 sol. tur. parv. antiq.;null;null
BD_1072;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;13 sol.;tournois;13 sol. tur. parv. antiq.;null;null
BD_1073;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 sol.;tournois;6 sol. tur. parv. antiq.;null;null
BD_1074;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;tournois;15 sol. tur. parv. antiq.;null;null
BD_1075;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;2 sol. 2 den.;tournois;2 sol. 2 den. tur. parv.;null;null
BD_1076;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. tur. parv. antiq.;null;null
BD_1077;biendeclare;maison3 et jardin;1;maison; null;jardin; null; null;null;null;null;null;null;null;37 sol.;tournois;37 sol. tur. parv.;null;null
BD_1078;biendeclare;part de jardin;1;part de jardin; null; null; null; null;null;null;null;altera parte possidere pro monasterio sancte verani;3 eminatae parum vel minus;null;10 sol. 4 den.;nr;10 sol. 4 den.;null;null
BD_1079;biendeclare;jardin;1;jardin; null; null; null; null;null;null;null;in qua est edificatum maison in quo moratur;1 emine;null;10 sol.;tournois;10 sol. tur. parv. antiq;null;null
BD_1080;biendeclare;jardin;1;jardin; null; null; null; null;null;null;null;null;1 emine environ;null;10 sol.;tournois;10 sol. tur. parv.;null;null
BD_1081;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol.;tournois;5 sol. tur. parv. antiq.;null;null
BD_1082;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;3 sol. 9 den.;tournois;3 sol. 9 den. tur. parv. antiq.;null;null
BD_1083;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;6 sol. 3 den.;tournois;6 sol. 3 den. tur. parv. antiq.;null;null
BD_1084;biendeclare;bourguet;1;bourguet; null; null; null; null;null;null;null;null;null;null;30 sol.;tournois;30 sol. tur. parv. antiq.;null;null
BD_1085;biendeclare;2 maisons3 contigues et unies et reduites en une seule maison;2;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;10 sol. tur. parv. antiq.;null;null
BD_1086;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. tur. antiq.;null;null
BD_1087;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 sol.;tournois;12 sol. tur. parv. antiq.;null;null
BD_1088;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 sol.;tournois;18 sol. tur. parv. antiq.;null;null
BD_1089;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;alteram partem indivisam se dixit pro hospitali sancti johannis jerosolimitani possidere;null;null;3 sol.;melgorien;3 sol. melg.;null;null
BD_1090;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1091;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_1093;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. tur. antiq.;null;null
BD_1094;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur olim duo curtili in medio nunc ad unum redacta;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1095;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 den.;tournois;5 den. tur. parv.;null;null
BD_1096;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;tournois;15 sol. tur. parv. bon. et antiq;null;null
BD_1097;biendeclare;3 parts de maison3;3;part de maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1098;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 den.;tournois;15 den. tur. parv. antiq.;null;null
BD_1099;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;5 sol.;tournois;5 sol. tur. parv. antiq;null;null
BD_1100;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol.;tournois;5 sol. tur. parv.;null;null
BD_1101;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 gross.;tournois;10 gross. argenti cum o rotando;null;null
BD_1102;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;4 sol.;tournois;4 sol. tur. parv. antiq;null;null
BD_1103;biendeclare;bourguet;1;bourguet; null; null; null; null;null;null;null;null;null;null;27 sol.;tournois;27 sol. tur. parv. antiq.;null;null
BD_1104;biendeclare;emplacement occupe par des batiments ou destine a etre bati;1;emplacement occupe par des batiments ou destine a etre bati; null; null; null; null;null;null;null;null;null;null;null;null;null;null;null
BD_1105;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;null;null;null;4 sol.;tournois;4 sol. tur. parv. antiq.;null;null
BD_1106;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv.;null;null
BD_1107;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;60 sol.;tournois;60 sol. tur. parv.antiq.;null;null
BD_1108;biendeclare;maison3 autour d’une cour centrale;1;maison; null;cour; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1109;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 den.;tournois;20 den. tur. parv. antiq.;null;null
BD_1110;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;22 den.;tournois;22 den. tur. parv. antiq.;null;null
BD_1111;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;tournois;15 sol. tur. parv. antiq.;null;null
BD_1112;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;tournois;15 sol. tur. parv. antiq.;null;null
BD_1113;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol. 6 den.;tournois;2 sol. et 6 den. tur. parv.;null;null
BD_1114;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol.;tournois;4 sol. tur. parv. antiq.;null;null
BD_1115;biendeclare;2 maisons3 avec entree centrale au milieu;2;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1116;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 flor.;florin de florence;2 flor. de florentia;null;null
BD_1117;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1118;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;26 den.;tournois;26 den. tur. parv. antiq.;null;null
BD_1119;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1120;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;10 sol.;tournois;10 sol. tur. parv. antiq.;null;null
BD_1121;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1122;biendeclare;table;1;table; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;10 sol. tur. parv. antiq.;null;null
BD_1123;biendeclare;2 tables contigues;2;table; null; null; null; null;null;null;null;null;null;null;2 sol. 6 den.;tournois;2 sol. et 6 den. tur .parv. antiq.;null;null
BD_1124;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 lb.;tournois;10 lb. tur. parv. antiq;null;null
BD_1125;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 sol.;tournois;6 sol. tur. parv. antiq.;null;null
BD_1126;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;30 sol.;tournois;30 sol. tur. parv. antiq.;null;null
BD_1127;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;8 sol. 6 den.;tournois;8 sol. et 6 den. tur. parv. antiq.;null;null
BD_1128;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;medietate indivisa, alteram partem mediam indivisiam dixit se pro curia temporali _in quo moratur;null;null;7 den.;tournois;7 den. tur. parv. antiq.;null;null
BD_1129;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;3 sol.;tournois;3 sol. tur. parv. antiq.;null;null
BD_1130;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1131;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;duarum gallinarum bonarum et sufficientium in dominica septuagesime solvend.;chapon;duarum gallinarum bonarum et sufficientium in dominica septuagesime solvend.;null;null
BD_1132;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 sol. 6 den.;tournois;2 sol. et 6 den. tur. parv. antiq.;null;null
BD_1133;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;18 den.;tournois;18 den. tur. parv. antiq.;null;null
BD_1134;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;25 sol.;tournois;25 sol. tur. parv. antiq.;null;null
BD_1135;biendeclare;mur exterieur du batiment ou place contigue a la maison3;1;place; null; null; null; null;null;null;null;commorans;null;null;12 den.;tournois;12 den. tur. parv.;null;null
BD_1136;biendeclare;2 maison3 contigues;2;maison; null; null; null; null;null;null;null;null;null;null;8 sol.;tournois;8 sol. tur. parv. antiq.;null;null
BD_1137;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol. 6 den.;nr;4 sol. et 6 den.;null;null
BD_1138;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;4 sol. 6 den.;nr;4 sol. et 6 den.;null;null
BD_1139;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol.;nr;4 sol.;null;null
BD_1140;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur raymundi;null;null;5 sol.;nr;5 sol.;null;null
BD_1141;biendeclare;etage;1;etage; null; null; null; null;null;null;null;null;null;null;3 sol.;nr;3 sol.;null;null
BD_1142;biendeclare;bourguet;1;bourguet; null; null; null; null;null;null;null;null;null;null;53 sol.;tournois;53 sol. tur. parv. antiq.;null;null
BD_1143;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;8 den.;tournois;8 den. tur. parv. antiq.;null;null
BD_1144;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;4 sol. 10 den.;tournois;4 sol. 10 den. tur. parv.;null;null
BD_1145;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;null;null;null;12 sol.;viennois;12 sol. vienn.;null;null
BD_1146;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quoquidem hospitio fit stabulum equorum ejusdem dom. cardinal;null;null;12 sol. vien.;viennois;12 sol. vien.;null;null
BD_1147;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;null;null;null;100 sol.;viennois;100 sol. vienn.;null;null
BD_1148;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;null;null;null;7,5 lb.;viennois;7 lb. cum dimidia dicte monete viennen.;null;null
BD_1149;biendeclare;part de maison3 et four;1;part de maison; null;four; null; null;null;null;null;in quo moratur;null;null;5 flor.;florin d or de florence;5 flor. auri de florentia;null;null
BD_1150;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;in quo moratur medietate indivisa;null;null;12 gross.;nr;12 gross. et dimidio;null;null
BD_1151;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur_medietate indivisa teneri dicitur sub directo domino curie temporalis avinionis;null;null;12 gross.;nr;12 gross. et dimidio;null;null
BD_1152;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;medietate indivisa teneri dicitur sub directo domino curie temporalis avinionis;null;null;5 sol.;tournois;5 sol. tur. parv. antiq.;null;null
BD_1153;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;medietate indivisa teneri dicitur sub directo domino curie temporalis avinionis;null;null;20 den.;tournois;20 den. tur. parv. antiq;null;null
BD_1154;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;medietate indivisa teneri dicitur sub directo domino curie temporalis avinionis;null;null;40 den.;tournois;40 den. tur. parv. antiq.;null;null
BD_1155;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;medietate indivisa teneri dicitur sub directo domino curie temporalis avinionis;null;null;5 sol.;tournois;5 sol. tur. parv. antiq.;null;null
BD_1156;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 gross.;nr;10 gross.;null;null
BD_1157;biendeclare;maison3 avec cour contigues;1;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;10 sol. tur. parv.;null;null
BD_1158;biendeclare;loge;1;loge; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_1159;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 gross.;nr;6 gross. talis monete cujus unus florenus valet decem grossos;null;null
BD_1160;biendeclare;pont;1;pont; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv.;null;null
BD_1161;biendeclare;emplacement occupe par des batiments ou destine a etre bati;1;emplacement occupe par des batiments ou destine a etre bati; null; null; null; null;null;null;null;ad edificandum in eodem locali;9 canne fronterie in longitudine et 4 canne in latitudine bedalis sorgie;null;18 sol.;tournois;18 sol. tur. parv. antiq.;null;null
BD_1162;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 sol.;tournois;18 sol. tur. parv. antiq.;null;null
BD_1163;biendeclare;emplacement occupe par des batiments ou destine a etre bati;1;emplacement occupe par des batiments ou destine a etre bati; null; null; null; null;null;null;null;ad edificandum in eodem locali;3,5 canne;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1164;biendeclare;loge ou emplacement occupe par des batiments ou destine a etre bati;1;loge;null; null; null; null;null;null;;ad edificandum supra murum dicti bedalis qui est a parte liciarum;2 canne fronterie parum plus vel minus;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1165;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;in quo moratur;null;null;6 sol. 3 den.;tournois;6 sol. 3 den. tur. parv. antiq.;null;null
BD_1166;biendeclare;loge qui passe au dessus de la rue maison edifiee sur cette arche;1;loge; null; null; null; null;null;null;null;null;6 canne;null;6 sol.;tournois;6 sol. tur. parv. antiq.;null;null
BD_1167;biendeclare;boutique et forge contigue ;1;boutique; null;forge; null; null;null;null;null;null;null;null;1 flor.;florin de 24 sol. de monnaie courante d avignon;1 flor. boni ponderis 24 sol. monete currentis avinione cum uno. grosso tur. agrenti;null;null
BD_1168;biendeclare;emplacement occupe par des batiments ou destine a etre bati;1;emplacement occupe par des batiments ou destine a etre bati; null; null; null; null;null;null;null;ad construendum quemdam pontem ligneum in dicto locali;12 palme fronteris in longitudine et quatuor canne in latitudine bedalis sogie;null;3 sol.;nr;3 sol.;null;null
BD_1169;biendeclare;emplacement occupe par des batiments ou destine a etre bati;1;emplacement occupe par des batiments ou destine a etre bati; null; null; null; null;null;null;null;ad edificantum;4 canne fronterie in longitude et 2 in latitudine dicte bedalis et sic in universo 8 canne parum vel minus;null;8 sol.;tournois;8 sol. tur. parv. antiq.;null;null
BD_1170;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;contiguum hospitio suo in quo moratur;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1171;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 sol.;tournois;3 sol. tur. parv. antiq.;null;null
BD_1172;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;tournois;12 den. tur. parv. antiq.;null;null
BD_1173;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;18 den.;tournois;18 den. tur. parv. antiq.;null;null
BD_1174;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 den.;melgorien;12 den. melg.;null;null
BD_1175;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;7 den.;melgorien;7 den. melg.;null;null
BD_1176;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_1177;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;quod olim fuerunt duo hospitia nunc in unum redacta;null;null;2 sol.;tournois;2 sol. tur. parv. antiq.;null;null
BD_1178;biendeclare;2 maisons3;2;maison; null; null; null; null;null;null;null;null;null;null;null;null;null;null;null
BD_1179;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 galline bone et sufficientis;chapon;1 galline bone et sufficientis;null;null
BD_1180;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol.;tournois;5 sol. tur. parv.;null;null
BD_1181;biendeclare;maison3;1;maison; null; null; null; null;null;null;parvum;null;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_1182;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;null;null;null;null;null
BD_1183;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;3 partium duarum gallinarum;chapon;3 partium duarum gallinarum;null;null
BD_1184;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;1 galline bone et sufficientis;chapon;1 galline bone et sufficientis;null;null
BD_1185;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;10 sol.;tournois;10 sol. tur. parv. antiq.;null;null
BD_1186;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;15 sol.;tournois;15 sol. tur. parv. antiq.;null;null
BD_1187;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. tur. parv. antiq.;null;null
BD_1188;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 sol. 6 den.;tournois;12 sol. 6 den. tur. parv.;null;null
BD_1189;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;12 sol. 6 den.;tournois;12 sol. 6 den. tur. parv.;null;null
BD_1190;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;20 sol.;tournois;20 sol. tur. parv. antiq.;null;null
BD_1191;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;2 gallinarum bonarum et sufficientium;chapon;2 gallinarum bonarum et sufficientium;null;null
BD_1192;biendeclare;part de maison3;1;part de maison; null; null; null; null;null;null;null;null;3 canne longitudine a parte orientis versus occidentem et 2 canne in latitudine protensa a circio vesus merdiem;null;10 sol.;tournois;10 sol. tur. parv.;null;null
BD_1193;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;5 sol.;tournois;5 sol. tur. parv. antiq.;null;null
BD_1194;biendeclare;masure ou poulailler;1;masure; null; null; null; null;null;null;null;null;null;null;6 den.;tournois;6 den. tur. parv. antiq.;null;null
BD_2001;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;null;null;null;40 sol.;tournois;40 sol. tur.;null;null
BD_2002;biendeclare;maison3;1;maison; null; null; null; null;null;null;null;dotal;null;null;2 sol. 6 den.;nr;2 sol. 6 den.;null;null
BD_2003;biendeclare;maison3 indivise;1;maison; null; null; null; null;null;null;null;null;null;null;11 sol.;tournois;11 sol. tur.;null;null
