"id","nom","geom","area","perimeter","type","idsave","datePremiereMention","dateCreation"
422,"Bourg de Raymond Milon","01060000206A0800000100000001030000000100000006000000953ECCA804CF29414AC592FA5E1A5841953ECCA804CF29414AC592FA5E1A584181BEEFDF13CF2941D612F2F6501A5841266DD72C77CF2941FE01735D511A5841C944BDF66BCF2941DCACB714611A5841953ECCA804CF29414AC592FA5E1A5841",NULL,NULL,NULL,10,NULL,NULL
428,"Bourg du Limas","01060000206A0800000100000001030000000100000005000000BDF60C4CAAC729410139B6A67C1A5841761340810DC829412C0B899A8F1A5841E4A5495746C829413CDD3FAF8A1A58415C7C8A6AE6C729411AB30E31781A5841BDF60C4CAAC729410139B6A67C1A5841",NULL,NULL,NULL,16,NULL,NULL
429,"Courtil de la Chèvre","01060000206A08000001000000010300000001000000050000001CA92EEA23C929416CB2979DA01A58412378E15A4AC929415DD90962A21A5841508773785CC92941C5DD72989A1A5841B71B45E232C9294154C6064C991A58411CA92EEA23C929416CB2979DA01A5841",NULL,NULL,NULL,17,NULL,NULL
430,"Courtil Saint-Jean","01060000206A0800000100000001030000000100000005000000E8719FB403C92941B51E5C7D4A1A58414B48AA7345C92941358144A34A1A58415084730149C92941EB9C8EC0431A5841EC99251306C929412BCE82D3431A5841E8719FB403C92941B51E5C7D4A1A5841",NULL,NULL,NULL,18,NULL,NULL
431,"Bourg de Melgraniers","01060000206A0800000100000001030000000100000005000000A83AA6C435CB2941B4A4FF40911A5841BC0F75F328CB294165C68D05891A58411E4EB89E6ECB294116CD1EB5871A58418553B51682CB29414098B1968F1A5841A83AA6C435CB2941B4A4FF40911A5841",NULL,NULL,NULL,19,NULL,NULL
433,"Bourg de Monet  Pinsonnier","01060000206A08000001000000010300000001000000050000009619D772FDC72941AE898E790A1A5841B08CDB9DFFC72941DD5CD72EFF195841F16E96AC5AC82941538CF745FF1958418B77933A59C82941AE898E790A1A58419619D772FDC72941AE898E790A1A5841",NULL,NULL,NULL,21,NULL,NULL
435,"Bourg de Trouillas","01060000206A0800000100000001030000000100000005000000C7E548BD8DCA294135A7E07C161A5841BBBF32F28BCA29418F7335830C1A5841B2C43393D4CA29414B250DD70B1A5841B2C43393D4CA2941B11D1B0A161A5841C7E548BD8DCA294135A7E07C161A5841",NULL,NULL,NULL,23,NULL,NULL
458,"Bourg de Jean de Graynol puis de Saint-Pierre","01060000206A08000001000000010300000001000000050000009CDC54576CD0294181F287FC891A5841DA2F5CFE81D029413EA613D17C1A58417DD7AB4E0FD02941C19AEB817A1A584159B32271F2CF294105C23943871A58419CDC54576CD0294181F287FC891A5841",NULL,NULL,NULL,46,NULL,NULL
457,"Bourg de l'Hôpital Bernard Rascas","01060000206A0800000100000001030000000100000005000000C0E1C66446D029418C41050E601A58414447AD3951D02941CBBE9A07551A5841B989E86AA3D029416B2D0612571A5841DF0DFA0B9DD02941B848AACB611A5841C0E1C66446D029418C41050E601A5841",NULL,NULL,NULL,45,NULL,NULL
436,"Bourg de Milgreniers","01060000206A0800000100000001030000000100000005000000B79D60BCF4C929411F4ADBC0CB195841D314A4BE42CA2941E00E3EFACB195841EC60D05446CA29418904A36CBF195841CAD6016DF7C929414BC905A6BF195841B79D60BCF4C929411F4ADBC0CB195841",NULL,NULL,NULL,24,NULL,NULL
