"idLienIndividu","idIndividu1","idIndividu2","descriptionLien","typeLien"
850,2151,1842,"fille","LIFAM"
460,803,1072,"maitre d hotel","LITRA"
878,1051,1771,"fille","LIFAM"
915,1543,2311,"fille","LIFAM"
853,201,1080,"apothicaire","LITRA"
862,1529,1600,"mere","LIFAM"
914,2311,1080,"portier de la premiere porte du palais","LITRA"
1527,3008,575,"epouse","LIFAM"
1531,3015,3016,"epouse","LIFAM"
1533,2676,1801,"epouse","LIFAM"
863,719,1080,"huissier","LITRA"
1536,3020,1848,"epouse","LIFAM"
938,1728,2319,"familier","LIFAM"
961,2251,831,"epouse","LIFAM"
897,2233,2173,"epouse","LIFAM"
429,100,750,"familier","LITRA"
434,797,739,"familier","LITRA"
438,153,1072,"familier","LITRA"
445,40,737,"familier","LITRA"
918,1685,612,"fille","LIFAM"
865,2135,1907,"fils","LIFAM"
871,60,955,"fils","LIFAM"
877,2068,2127,"fils","LIFAM"
936,2236,1634,"fils","LIFAM"
952,1721,1572,"fils","LIFAM"
963,2327,2063,"fils","LIFAM"
967,1627,2330,"fils","LIFAM"
970,1703,2332,"fils","LIFAM"
840,1518,1564,"frere","LIFAM"
851,1539,1628,"frere","LIFAM"
856,1957,1894,"frere","LIFAM"
869,1574,1573,"frere","LIFAM"
844,1755,2277,"heritier","LIFAM"
864,2135,1907,"heritier","LIFAM"
870,60,955,"heritier","LIFAM"
882,1820,2293,"heritier","LIFAM"
1923,9087,9088,"heritier","LIFAM"
1924,9099,1827,"heritier","LIFAM"
919,1685,612,"heritier","LIFAM"
932,2249,2315,"heritier","LIFAM"
437,81,1080,"huissier de la porte de fer du palais","LITRA"
866,2283,2135,"mere","LIFAM"
464,90,113,"portier","LITRA"
1921,9083,8202,"veuve","LIFAM"
895,1619,2300,"epouse dorenavant","LIFAM"
923,2267,2312,"epouse dorenavant","LIFAM"
854,2208,201,"veuve","LIFAM"
855,1680,2280,"veuve","LIFAM"
857,1583,2281,"veuve","LIFAM"
859,1561,2060,"veuve","LIFAM"
861,1529,2282,"veuve","LIFAM"
868,2283,2284,"veuve","LIFAM"
874,1499,2288,"veuve","LIFAM"
885,1495,2294,"veuve","LIFAM"
997,1614,1779,"conseiller compagnon","LIFAM"
1086,2393,1700,"petit fils neveu","LIFAM"
562,89,1072,"conseiller compagnon","LITRA"
1033,2350,1080,"huissier","LITRA"
991,1123,1625,"frere","LIFAM"
1226,2691,1080,"abreviateur","LITRA"
1018,2107,1277,"heritier","LIFAM"
1003,1816,765,"heritier","LIFAM"
1037,1516,1080,"scribe","LITRA"
576,953,824,"scribe","LITRA"
578,958,1080,"scribe","LITRA"
577,953,1080,"scribe et registrateur des suppliques","LITRA"
1932,9134,1080,"sergent d armes","LITRA"
1027,2147,1752,"soeur","LIFAM"
1537,3022,3023,"epouse","LIFAM"
1538,3024,3025,"epouse","LIFAM"
1539,3026,3027,"epouse","LIFAM"
1541,3034,3035,"epouse","LIFAM"
1542,3037,993,"epouse","LIFAM"
1545,3045,84,"epouse","LIFAM"
1547,3064,3065,"epouse","LIFAM"
1059,2049,1664,"pere","LIFAM"
1574,3521,3898,"epouse","LIFAM"
1582,3152,1155,"epouse","LIFAM"
1583,3154,3903,"epouse","LIFAM"
1585,3333,3904,"epouse","LIFAM"
