idInvariant1,idInvariant2,lienArtificiel
487_8,487_9,confronte avec
487_9,487_10,confronte avec
487_10,487_11,confronte avec
487_11,487_12,confronte avec
487_12,487_13,confronte avec
487_13,487_14,confronte avec
487_14,487_15,confronte avec
487_15,487_16,confronte avec
487_16,487_17,confronte avec
487_17,487_18,confronte avec
487_18,487_19,confronte avec
487_19,487_20,confronte avec
487_20,487_21,confronte avec
487_21,487_22,confronte avec
487_22,487_23,confronte avec
487_23,487_24,confronte avec
487_24,487_25,confronte avec
487_25,487_26,confronte avec
487_26,487_27,confronte avec
487_27,487_28,confronte avec
487_28,487_29,confronte avec
487_29,487_30,confronte avec
402_1,402_2,confronte avec
402_2,402_3,confronte avec
402_3,402_4,confronte avec
402_4,402_5,confronte avec
402_5,402_6,confronte avec
402_6,402_7,confronte avec
402_7,402_8,confronte avec
402_8,402_9,confronte avec
402_9,402_10,confronte avec
402_10,402_11,confronte avec
402_11,402_12,confronte avec
402_12,402_13,confronte avec
402_13,402_14,confronte avec
402_14,402_15,confronte avec
402_15,402_16,confronte avec
402_16,402_17,confronte avec
402_17,402_18,confronte avec
402_18,402_19,confronte avec
402_19,402_20,confronte avec
402_20,402_21,confronte avec
402_21,402_22,confronte avec
402_22,402_23,confronte avec
402_23,402_24,confronte avec
402_24,402_25,confronte avec
402_25,402_26,confronte avec
402_26,402_27,confronte avec
402_27,402_28,confronte avec
402_28,402_29,confronte avec
402_29,402_30,confronte avec
402_30,402_31,confronte avec
402_31,402_32,confronte avec
392_1,392_2,confronte avec
392_2,392_3,confronte avec
392_3,392_4,confronte avec
392_4,392_5,confronte avec
392_5,392_6,confronte avec
392_6,392_7,confronte avec
392_7,392_8,confronte avec
392_8,392_9,confronte avec
392_9,392_10,confronte avec
392_10,392_11,confronte avec
392_11,392_12,confronte avec
392_12,392_13,confronte avec
392_13,392_14,confronte avec
392_14,392_15,confronte avec
392_15,392_16,confronte avec
392_16,392_17,confronte avec
392_17,392_18,confronte avec
392_18,392_19,confronte avec
392_19,392_20,confronte avec
392_20,392_21,confronte avec
392_21,392_22,confronte avec
392_22,392_23,confronte avec
392_23,392_24,confronte avec
392_24,392_25,confronte avec
392_25,392_26,confronte avec
392_26,392_27,confronte avec
392_27,392_28,confronte avec
392_28,392_29,confronte avec
205_1,205_2,confronte avec
205_2,205_3,confronte avec
205_3,205_4,confronte avec
205_4,205_5,confronte avec
205_5,205_6,confronte avec
205_6,205_7,confronte avec
205_7,205_8,confronte avec
205_8,205_9,confronte avec
205_9,205_10,confronte avec
205_10,205_11,confronte avec
205_11,205_12,confronte avec
205_12,205_13,confronte avec
205_13,205_14,confronte avec
205_14,205_15,confronte avec
205_15,205_16,confronte avec
205_16,205_17,confronte avec
205_17,205_18,confronte avec
205_18,205_19,confronte avec
205_19,205_20,confronte avec
195_1,195_2,confronte avec
195_2,195_3,confronte avec
195_3,195_4,confronte avec
195_4,195_5,confronte avec
195_5,195_6,confronte avec
195_6,195_7,confronte avec
195_7,195_8,confronte avec
195_8,195_9,confronte avec
195_9,195_10,confronte avec
195_10,195_11,confronte avec
195_11,195_12,confronte avec
195_12,195_13,confronte avec
195_13,195_14,confronte avec
195_14,195_15,confronte avec
195_15,195_16,confronte avec
195_16,195_17,confronte avec
195_17,195_18,confronte avec
195_18,195_19,confronte avec
195_19,195_20,confronte avec
195_20,195_21,confronte avec
195_21,195_22,confronte avec
195_22,195_23,confronte avec
195_23,195_24,confronte avec
195_24,195_25,confronte avec
195_25,195_26,confronte avec
195_26,195_27,confronte avec
195_27,195_28,confronte avec
195_28,195_29,confronte avec
195_30,195_31,confronte avec
195_31,195_32,confronte avec
195_32,195_33,confronte avec
195_33,195_34,confronte avec
195_34,195_35,confronte avec
195_35,195_36,confronte avec
185_1,185_2,confronte avec
185_2,185_3,confronte avec
185_3,185_4,confronte avec
185_4,185_5,confronte avec
185_5,185_6,confronte avec
185_6,185_7,confronte avec
185_7,185_8,confronte avec
185_8,185_9,confronte avec
185_9,185_10,confronte avec
185_10,185_11,confronte avec
185_11,185_12,confronte avec
185_12,185_13,confronte avec
185_13,185_14,confronte avec
185_14,185_15,confronte avec
185_15,185_16,confronte avec
185_16,185_17,confronte avec
185_17,185_18,confronte avec
185_18,185_19,confronte avec
185_19,185_20,confronte avec
185_20,185_21,confronte avec
185_21,185_22,confronte avec
185_22,185_23,confronte avec
185_23,185_24,confronte avec
185_24,185_25,confronte avec
185_25,185_26,confronte avec
185_26,185_27,confronte avec
185_27,185_28,confronte avec
185_28,185_29,confronte avec
185_29,185_30,confronte avec
185_30,185_31,confronte avec
483_2,483_1,confronte avec
483_1,483_5,confronte avec
483_5,483_6,confronte avec
483_6,483_4,confronte avec
483_4,483_3,confronte avec
483_3,483_2,confronte avec
