idConfront,localisation,idBien1,idBien2,idInvariant,idQuartierParoisse,localisationTN
112,a-circio,51,52,NULL,NULL,confronte au nord avec
1045,a-occident,51,NULL,156,NULL,confronte a l ouest avec
1379,a-orient,51,NULL,54,NULL,confronte a l est avec
1431,a-occident,51,NULL,76,NULL,confronte a l ouest avec
5522,in,51,NULL,NULL,5,a l interieur de
113,a-meridie,52,51,NULL,NULL,confronte au sud avec
114,a-circio,52,53,NULL,NULL,confronte au nord avec
1046,a-occident,52,NULL,156,NULL,confronte a l ouest avec
1380,a-orient,52,NULL,54,NULL,confronte a l est avec
1432,a-occident,52,NULL,76,NULL,confronte a l ouest avec
5523,in,52,NULL,NULL,5,a l interieur de
115,a-meridie,53,52,NULL,NULL,confronte au sud avec
116,a-circio,53,54,NULL,NULL,confronte au nord avec
1047,a-occident,53,NULL,156,NULL,confronte a l ouest avec
1381,a-orient,53,NULL,54,NULL,confronte a l est avec
1433,a-occident,53,NULL,76,NULL,confronte a l ouest avec
5524,in,53,NULL,NULL,5,a l interieur de
117,a-meridie,54,53,NULL,NULL,confronte au sud avec
118,a-circio,54,55,NULL,NULL,confronte au nord avec
1048,a-occident,54,NULL,156,NULL,confronte a l ouest avec
1382,a-orient,54,NULL,54,NULL,confronte a l est avec
1434,a-occident,54,NULL,76,NULL,confronte a l ouest avec
5525,in,54,NULL,NULL,5,a l interieur de
119,a-meridie,55,54,NULL,NULL,confronte au sud avec
1049,a-occident,55,NULL,156,NULL,confronte a l ouest avec
1059,a-circio,55,NULL,159,NULL,confronte au nord avec
1383,a-orient,55,NULL,54,NULL,confronte a l est avec
1435,a-occident,55,NULL,76,NULL,confronte a l ouest avec
5526,in,55,NULL,NULL,5,a l interieur de
120,a-occident,56,457,NULL,NULL,confronte a l ouest avec
121,a-circio,56,465,NULL,NULL,confronte au nord avec
122,a-circio,56,816,NULL,NULL,confronte au nord avec
123,a-orient,56,58,NULL,NULL,confronte a l est avec
124,a-meridie,56,58,NULL,NULL,confronte au sud avec
125,a-meridie,56,59,NULL,NULL,confronte au sud avec
126,a-meridie,56,61,NULL,NULL,confronte au sud avec
1311,in-capite,56,NULL,17,NULL,au debut de
1312,a-orient,56,NULL,17,NULL,confronte a l est avec
5527,in,56,NULL,NULL,6,a l interieur de
127,contigu,57,56,NULL,NULL,contigu
5528,in,57,NULL,NULL,6,a l interieur de
128,a-circio,58,56,NULL,NULL,confronte au nord avec
129,a-occident,58,57,NULL,NULL,confronte a l ouest avec
130,a-meridie,58,59,NULL,NULL,confronte au sud avec
1313,a-orient,58,NULL,17,NULL,confronte a l est avec
5529,in,58,NULL,NULL,6,a l interieur de
131,a-circio,59,58,NULL,NULL,confronte au nord avec
132,a-occident,59,61,NULL,NULL,confronte a l ouest avec
133,a-meridie,59,60,NULL,NULL,confronte au sud avec
1314,a-orient,59,NULL,17,NULL,confronte a l est avec
5530,in,59,NULL,NULL,6,a l interieur de
134,a-circio,60,59,NULL,NULL,confronte au nord avec
