Source;Target;Type;Label;typeLien;Wheigt
219;1008;;uxor;LienFamille;1
220;1030;;heres;LienFamille;1
226;1078;;heres;LienFamille;1
227;1006;;heres;LienFamille;1
228;691;;heres;LienFamille;1
232;2654;;filia;LienFamille;1
232;809;;relicta;LienFamille;1
233;997;;heres;LienFamille;1
233;997;;filius;LienFamille;1
235;1056;;heres;LienFamille;1
236;237;;soror;LienFamille;1
237;963;;filia;LienFamille;1
237;963;;heres;LienFamille;1
237;964;;relicta;LienFamille;1
238;426;;filius;LienFamille;1
241;2843;;serviens armorum;LienProfessionel;1
243;1037;;filia;LienFamille;1
243;986;;uxor;LienFamille;1
243;1037;;heres;LienFamille;1
244;800;;heres;LienFamille;1
249;1072;;conjuges;LienFamille;1
249;250;;uxor;LienFamille;1
250;1080;;palefrenarius;LienProfessionel;1
250;249;;conjuges;LienFamille;1
251;885;;filius;LienFamille;1
251;885;;heres;LienFamille;1
254;972;;uxor;LienFamille;1
254;1068;;filia;LienFamille;1
254;1068;;filia;LienFamille;1
254;1068;;heres;LienFamille;1
254;1068;;heres;LienFamille;1
254;521;;filia;LienFamille;1
254;1068;;filia;LienFamille;1
254;1068;;heres;LienFamille;1
256;1002;;heres;LienFamille;1
256;1002;;filius;LienFamille;1
261;2843;;serviens armorum;LienProfessionel;1
266;920;;filia;LienFamille;1
268;269;;filia;LienFamille;1
268;988;;uxor;LienFamille;1
273;2843;;serviens armorum;LienProfessionel;1
276;984;;heres;LienFamille;1
276;984;;filius;LienFamille;1
277;278;;filia;LienFamille;1
277;939;;uxor;LienFamille;1
279;1075;;filius;LienFamille;1
279;1075;;heres;LienFamille;1
280;279;;soror;LienFamille;1
280;11;;soror;LienFamille;1
280;1075;;heres;LienFamille;1
280;1075;;filia;LienFamille;1
282;1040;;filia;LienFamille;1
282;2646;;tutrix;LienFamille;1
282;2645;;tutrix;LienFamille;1
282;2644;;tutrix;LienFamille;1
282;2643;;tutrix;LienFamille;1
282;2647;;tutrix;LienFamille;1
282;976;;relicta;LienFamille;1
282;1040;;heres;LienFamille;1
283;1012;;heres;LienFamille;1
283;1012;;filius;LienFamille;1
284;283;;frater;LienFamille;1
284;1012;;filius;LienFamille;1
284;1012;;heres;LienFamille;1
285;284;;heres;LienFamille;1
285;284;;filius;LienFamille;1
286;287;;frater;LienFamille;1
288;289;;conjuges;LienFamille;1
296;794;;heres;LienFamille;1
300;700;;heres;LienFamille;1
307;801;;heres;LienFamille;1
308;720;;heres;LienFamille;1
309;703;;heres;LienFamille;1
310;870;;heres;LienFamille;1
311;769;;heres;LienFamille;1
312;313;;conjuges;LienFamille;1
316;1057;;heres;LienFamille;1
318;14;;uxor;LienFamille;1
322;1009;;heres;LienFamille;1
322;887;;uxor;LienFamille;1
322;1009;;filia;LienFamille;1
326;767;;heres;LienFamille;1
327;804;;heres;LienFamille;1
328;899;;heres;LienFamille;1
329;826;;heres;LienFamille;1
330;1033;;heres;LienFamille;1
330;1033;;filius;LienFamille;1
330;331;;frater;LienFamille;1
331;1033;;heres;LienFamille;1
331;1033;;filius;LienFamille;1
332;190;;heres;LienFamille;1
332;190;;filius;LienFamille;1
333;190;;filius;LienFamille;1
333;190;;heres;LienFamille;1
333;782;;uxor;LienFamille;1
335;931;;frater;LienFamille;1
336;951;;filius;LienFamille;1
336;951;;heres;LienFamille;1
337;931;;heres;LienFamille;1
339;403;;familiaris;LienProfessionel;1
340;770;;heres;LienFamille;1
346;971;;filius;LienFamille;1
346;971;;heres;LienFamille;1
347;1058;;filia;LienFamille;1
347;922;;uxor;LienFamille;1
347;1058;;heres;LienFamille;1
348;568;;tutor;LienFamille;1
348;568;;tutor;LienFamille;1
349;904;;uxor;LienFamille;1
349;1007;;felezez;LienFamille;1
349;1066;;heres;LienFamille;1
349;1066;;filia;LienFamille;1
350;136;;heres;LienFamille;1
351;693;;heres;LienFamille;1
352;1076;;heres;LienFamille;1
353;1001;;uxor;LienFamille;1
353;470;;relicta;LienFamille;1
353;1015;;filia;LienFamille;1
353;1015;;heres;LienFamille;1
354;833;;filius;LienFamille;1
355;1025;;heres;LienFamille;1
355;1025;;filius;LienFamille;1
356;341;;uxor;LienFamille;1
357;930;;heres;LienFamille;1
357;930;;filia;LienFamille;1
358;976;;heres;LienFamille;1
359;1035;;heres;LienFamille;1
359;145;;uxor;LienFamille;1
359;1035;;filia;LienFamille;1
360;888;;relicta;LienFamille;1
360;888;;uxor;LienFamille;1
362;933;;heres;LienFamille;1
